instanceID,ts_start,ts_end,duration,status,code,message,comment,contractCategory,iecCategory
LLY_WTG21,31-Dec-2017 21:17:58,02-Jan-2018 14:58:55,41:40:57,stop,11,RPM Rotor Max limit exceeded,visual inspection carried out and turbine manualy reset,Unscheduled Maintenance - Rotor or Blades,<undefined>
LLY_WTG21,02-Jan-2018 14:56:24,02-Jan-2018 15:55:13,00:58:49,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG21,20-Jan-2018 13:38:02,21-Jan-2018 10:52:13,21:14:11,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG21,25-Jan-2018 08:00:00,25-Jan-2018 10:43:30,02:43:30,communication,9997,Data communication unavailable,,<undefined>,Information Unavailable
LLY_WTG21,26-Jan-2018 15:30:48,26-Jan-2018 16:05:48,00:35:00,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG21,26-Jan-2018 16:47:05,26-Jan-2018 16:58:36,00:11:31,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG21,29-Jan-2018 23:45:59,30-Jan-2018 17:58:16,18:12:17,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG21,31-Jan-2018 10:35:41,31-Jan-2018 14:57:57,04:22:16,stop,22,Remote manual stop,,HV - Internal Unplanned outage,<undefined>
LLY_WTG21,31-Jan-2018 10:45:46,31-Jan-2018 14:31:42,03:45:56,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG21,02-Mar-2018 04:13:37,02-Mar-2018 13:38:53,09:25:16,stop,90,Windpseed too high to operate,"Awaiting reset when wind speeds allow, windspeeds too high to reset 02/03 07:40",Weather - High winds,<undefined>
LLY_WTG21,02-Mar-2018 13:53:59,02-Mar-2018 14:07:59,00:14:00,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG21,02-Mar-2018 13:53:59,02-Mar-2018 14:07:59,00:14:00,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG21,02-Mar-2018 13:53:59,02-Mar-2018 14:07:59,00:14:00,warning,50001,No communication  ,,<undefined>,<undefined>
