instanceID,ts_start,ts_end,duration,status,code,message,comment,contractCategory,iecCategory
LLY_WTG12,04-Jun-2019 17:03:02,06-Jun-2019 09:49:55,40:46:53,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,06-Jun-2019 14:10:00,07-Jun-2019 12:20:34,22:10:34,communication,9997,Data communication unavailable,,<undefined>,Information Unavailable
LLY_WTG12,20-Jun-2019 07:59:09,20-Jun-2019 13:53:52,05:54:43,stop,22,Remote manual stop,Internal planned outage for T07 transformer replacement works,HV - Internal Planned outage,<undefined>
LLY_WTG12,20-Jun-2019 08:12:35,20-Jun-2019 13:48:51,05:36:16,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,23-Jun-2019 18:05:34,23-Jun-2019 18:17:22,00:11:48,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,23-Jun-2019 18:17:25,23-Jun-2019 18:42:48,00:25:23,stop,51,Low lower voltage exceeded,Suspected grid outage,Grid - External Unplanned outage,<undefined>
LLY_WTG12,25-Jun-2019 18:17:23,25-Jun-2019 18:42:44,00:25:21,stop,51,Low lower voltage exceeded,suspected grid outage,Grid - External Unplanned outage,<undefined>
LLY_WTG12,25-Jun-2019 18:19:04,25-Jun-2019 18:33:17,00:14:13,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,27-Jun-2019 10:25:40,27-Jun-2019 10:29:49,00:04:09,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,27-Jun-2019 13:14:17,27-Jun-2019 14:02:31,00:48:14,stop,21,Manual stop,Life extension inspection,Owner - Inspection,<undefined>
LLY_WTG12,27-Jun-2019 13:15:49,27-Jun-2019 14:03:21,00:47:32,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,10-Jul-2019 13:43:14,10-Jul-2019 14:20:49,00:37:35,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,11-Jul-2019 13:07:42,11-Jul-2019 13:15:44,00:08:02,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,11-Jul-2019 21:50:00,12-Jul-2019 06:18:47,08:28:47,communication,9997,Data communication unavailable,,<undefined>,Information Unavailable
LLY_WTG12,22-Jul-2019 09:17:07,22-Jul-2019 11:33:17,02:16:10,stop,21,Manual stop,semi annual,Scheduled Maintenance - Servicing (major and minor),<undefined>
LLY_WTG12,22-Jul-2019 09:18:55,22-Jul-2019 13:42:15,04:23:20,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,22-Jul-2019 11:35:18,22-Jul-2019 13:04:00,01:28:42,stop,21,Manual stop,Servicing,Scheduled Maintenance - Servicing (major and minor),<undefined>
LLY_WTG12,22-Jul-2019 13:05:33,22-Jul-2019 13:39:05,00:33:32,stop,21,Manual stop,Servicing.,Scheduled Maintenance - Servicing (major and minor),<undefined>
LLY_WTG12,23-Jul-2019 05:40:00,24-Jul-2019 15:29:23,33:49:23,communication,9997,Data communication unavailable,,<undefined>,Information Unavailable
LLY_WTG12,23-Jul-2019 05:48:42,24-Jul-2019 15:26:21,33:37:39,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,23-Jul-2019 06:03:39,24-Jul-2019 16:41:02,34:37:23,stop,52,Frequency on mains too high,Suspected transformer failure on T05,HV - Internal Planned outage,<undefined>
LLY_WTG12,24-Jul-2019 15:31:27,24-Jul-2019 16:18:06,00:46:39,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,24-Jul-2019 17:31:43,24-Jul-2019 18:27:54,00:56:11,stop,22,Remote manual stop,T32 Transformer failure. Replacement to be arranged.,HV - Internal Planned outage,<undefined>
LLY_WTG12,24-Jul-2019 17:34:04,24-Jul-2019 18:20:58,00:46:54,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,25-Jul-2019 08:30:01,25-Jul-2019 09:50:27,01:20:26,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,25-Jul-2019 09:55:28,25-Jul-2019 09:58:14,00:02:46,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,25-Jul-2019 10:06:37,25-Jul-2019 10:10:57,00:04:20,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,25-Jul-2019 10:45:51,25-Jul-2019 11:42:59,00:57:08,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,30-Jul-2019 15:53:44,30-Jul-2019 16:06:07,00:12:23,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,30-Jul-2019 15:59:06,30-Jul-2019 16:24:23,00:25:17,stop,52,Frequency on mains too high,,Grid - External Unplanned outage,<undefined>
LLY_WTG12,08-Aug-2019 12:51:50,08-Aug-2019 13:27:48,00:35:58,stop,21,Manual stop,Stat inspections. ,Owner - Statutory inspections,<undefined>
LLY_WTG12,08-Aug-2019 12:52:36,08-Aug-2019 13:28:46,00:36:10,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,09-Aug-2019 10:11:41,09-Aug-2019 10:13:28,00:01:47,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,11-Aug-2019 04:13:38,11-Aug-2019 04:26:10,00:12:32,stop,94,Stopped untwisting cables,,Cable Unwind,<undefined>
LLY_WTG12,13-Aug-2019 10:44:49,13-Aug-2019 14:42:08,03:57:19,stop,22,Remote manual stop,Switching for T32 transformer replacement. ,HV - Internal Planned outage,<undefined>
LLY_WTG12,13-Aug-2019 11:07:22,13-Aug-2019 14:22:40,03:15:18,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,30-Aug-2019 14:36:07,30-Aug-2019 15:01:30,00:25:23,stop,52,Frequency on mains too high,NG Outage - Unplanned,Grid - External Unplanned outage,<undefined>
LLY_WTG12,01-Sep-2019 23:02:26,05-Sep-2019 11:21:17,84:18:51,stop,2,Motor Superheated,In surrender. Seized pipework requires further attention. ,Unscheduled Maintenance - Gearbox,<undefined>
LLY_WTG12,02-Sep-2019 11:25:23,02-Sep-2019 12:03:29,00:38:06,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,03-Sep-2019 09:03:52,03-Sep-2019 14:58:50,05:54:58,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,04-Sep-2019 08:27:00,05-Sep-2019 10:17:51,25:50:51,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,05-Sep-2019 10:19:44,05-Sep-2019 11:43:28,01:23:44,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,05-Sep-2019 11:24:18,05-Sep-2019 11:38:45,00:14:27,stop,21,Manual stop,,Unscheduled Maintenance - Gearbox,<undefined>
LLY_WTG12,11-Sep-2019 12:44:04,11-Sep-2019 13:05:46,00:21:42,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,15-Sep-2019 10:41:15,15-Sep-2019 10:53:58,00:12:43,stop,94,Stopped untwisting cables,,Cable Unwind,<undefined>
LLY_WTG12,17-Sep-2019 12:53:45,17-Sep-2019 12:55:53,00:02:08,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,24-Sep-2019 08:15:12,24-Sep-2019 14:25:02,06:09:50,stop,22,Remote manual stop,T16 Transformer exchange,Major Component - Owner - Turbine Transformer,<undefined>
LLY_WTG12,24-Sep-2019 11:07:21,24-Sep-2019 14:19:24,03:12:03,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,25-Sep-2019 06:42:26,25-Sep-2019 06:54:36,00:12:10,stop,94,Stopped untwisting cables,,Cable Unwind,<undefined>
LLY_WTG12,18-Oct-2019 09:32:42,18-Oct-2019 10:24:15,00:51:33,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,18-Oct-2019 10:34:11,18-Oct-2019 12:09:15,01:35:04,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,18-Oct-2019 12:27:51,18-Oct-2019 13:07:38,00:39:47,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,18-Oct-2019 13:13:14,18-Oct-2019 13:16:49,00:03:35,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,08-Nov-2019 12:59:16,08-Nov-2019 13:11:29,00:12:13,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,08-Nov-2019 13:02:05,08-Nov-2019 13:27:31,00:25:26,stop,52,Frequency on mains too high,,Grid - External Unplanned outage,<undefined>
LLY_WTG12,11-Nov-2019 12:14:22,11-Nov-2019 13:52:50,01:38:28,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,18-Nov-2019 01:14:20,18-Nov-2019 01:39:47,00:25:27,stop,51,Low lower voltage exceeded,Suspected grid trip,Grid - External Unplanned outage,<undefined>
LLY_WTG12,18-Nov-2019 01:20:36,18-Nov-2019 01:30:04,00:09:28,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,18-Nov-2019 11:50:00,19-Nov-2019 13:55:12,26:05:12,communication,9997,Data communication unavailable,,<undefined>,Information Unavailable
LLY_WTG12,19-Nov-2019 15:07:14,19-Nov-2019 16:28:27,01:21:13,stop,22,Remote manual stop,HV outage for Transformer Oil sampling,HV - Internal Planned outage,<undefined>
LLY_WTG12,19-Nov-2019 15:25:51,19-Nov-2019 16:18:44,00:52:53,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,22-Nov-2019 05:20:00,22-Nov-2019 08:05:15,02:45:15,communication,9997,Data communication unavailable,,<undefined>,Information Unavailable
LLY_WTG12,26-Nov-2019 05:30:00,26-Nov-2019 07:36:53,02:06:53,communication,9997,Data communication unavailable,,<undefined>,Information Unavailable
LLY_WTG12,27-Nov-2019 13:20:00,28-Nov-2019 11:36:55,22:16:55,communication,9997,Data communication unavailable,,<undefined>,Information Unavailable
LLY_WTG12,05-Dec-2019 10:11:28,05-Dec-2019 11:12:06,01:00:38,stop,21,Manual stop,Annual Service,Scheduled Maintenance - Servicing (major and minor),<undefined>
LLY_WTG12,05-Dec-2019 10:15:47,05-Dec-2019 13:11:37,02:55:50,warning,50001,No communication  ,,<undefined>,<undefined>
LLY_WTG12,05-Dec-2019 11:13:33,05-Dec-2019 11:36:05,00:22:32,stop,21,Manual stop,Annual Service,Scheduled Maintenance - Servicing (major and minor),<undefined>
LLY_WTG12,10-Dec-2019 21:13:58,11-Dec-2019 10:59:31,13:45:33,stop,31,Gear oil cold or superheated,Escalated to DWT 11/12,Unscheduled Maintenance - Gearbox,<undefined>
LLY_WTG12,13-Dec-2019 10:54:17,13-Dec-2019 14:56:57,04:02:40,stop,31,Gear oil cold or superheated,Escalated to DWT - 13/12,Unscheduled Maintenance - Gearbox,<undefined>
